מספר השאלה										
	תיאור אירוע	שאלת טריגר	סעיף טריגר 	שנה	תשובות	ניקוד כסף	ניקוד פליטות	איכות חיים	איזור	קטגוריה
					אתמוך בשאיבת גזי חממה מהאטמוספירה, על מנת לתרום לתהליך ולאפשר את צמצום השפעות המשבר	-5	-3	(+4)		
17	שאיבת גזי חממה יכולה להיות פיתרון משמעותי לצמצום הגזים.	16	3	2030	אצמצם משמעותית את הפגיעה במבלעי הפחמן הטבעיים (יערות ואוקיינוסים)	-3	-5	(+3)	ים ֿתיכון	כלכלה, תעשייה וחברה
					אחדש יערות שנכרתו ואקדם יעור אזורים חדשים	-2	-4	(+4)		
					אקדם פיתוח פתרונות לקבורת פחמן, כדי למנוע את פליטתו מחדש לאטמוספרה	-4	-2	(+2)		
18	השלכות משבר האקלים כבר כאן. 			2040	אבחר להגן על תושבי המדינה מפני אסונות אקלים	(-5)	0	(+5)	איזור ירושלים	כלכלה, תעשייה וחברה
					אמשיך ואקדם מעבר לאנרגיות מתחדשות בכל הכוח, כדי למנוע את השלכות המשבר	(-4)	(-5)	(+4)		
					ניתן לכדור לעשות את שלו, לנו יש רק לקבל את כל מה שיש לו להציע	0	0	(-5)		
19	פתרונות מעבר לאנרגיה מתחדשת פוגעים לעיתים בשטחים פתוחים ומגוון אקולוגי כמו טורבינות רוח, שפוגעות בעופות.			2032	איישם כל פיתרון יעיל מבחינה אנרגטית	-5	-3	-1	רמת הגולן	סביבה ומשאבי טבע
					אם הפתרון פוגע באוכלוסייה נכחדת, אשקול אותו מחדש	-4	-4	(+1)		
					אעדיף פתרונות שאינם פוגעים בסביבה, ובמגוון. בסופו של דבר, זה פוגע בנו	-3	-5	(+1)		
20	שריפות נוספות ביערות הכרמל, קיצוניות מתמיד בהן נשרפו המוני עצים. אלה מונעים צמצום וספיחה של פחמן דו חמצני מהאטמוספירה.			2034	אכפיל את כמות העצים ואטע מחדש באופן מיידי	-1	-1	(+1)	חיפה וכרמל	סביבה ומשאבי טבע
					אמתין שהיער יחדש את עצמו	0	(+2)	-1		
					אתכנן מחדש את היער כך שבעתיד הסיכוי להתפשטות שריפה יהיה נמוך יותר- נטיעת עצים עמידים לשריפות במבנים מותאמים	-2	-3	(+2)		
22	בשנה שעברה יובאו כ-250,000 מכוניות חדשות. רק 10,211 מהן חשמליות. 			2022	אסוף מס על רכבים מזהמים. הכסף הנכנס ישמש לסבסוד רכבים חשמליים	(+1)	-3	(-1)	אילת	תחבורה ואנרגיה
					 אעלה את מחירי הדלק	(+1)	-2	(-1)		
					אוסיף פרסומות בשלטי חוצות על חשיבות השימוש ברכבים חשמליים	-1	-1	0		
23	סוף סוף נפתחה הרכבת הקלה בגוש דן! עדיין, אנשים רבים מעדיפים לנסוע ברכבם הפרטי מאשר להשתמש ברכבת.			2026	אתן חודש ניסיון חינם לכל נוסע חדש	-1	-1	(+1)	מישור החוף	תחבורה ואנרגיה
					אתיר רק לתושבי גוש דן להכניס את מכוניתם פנימה	-1	-2	-1		
					אעלה עוד יותר את מיסי הדלק והרכבים	(+1)	-2	-1		
24	 בעקבות העלייה במחירי הדלק נוספו רכבים חשמליים. אך עמדות הטעינה הציבוריות הקיימות פרוסות באופן שמשרת בעיקר את תושבי גוש דן.			2023	אבחר לא להש׳קיע. המכוניות ימשיכו לזהם כל עוד החשמל לא יגיע ממקורות מתחדשים	0	0	-1	מישור החוף	תחבורה ואנרגיה
					אשקיע בפיתוח בטריות חסכניות יותר בחשמל	-5	-5	 (+3)		
					אתקין עמדות הטענה נוספות ברחבי הצפון והדרום	-3	-3	(+2)		
25	 הותקנו עוד 263 תחנות טעינה ברחבי הארץ, אך הטעינה עלולה לקחת לילה שלם, מה שימנע מאנשים לנסוע נסיעות ארוכות.	24	3	2024	אחליף את עמדות הטעינה בעמדות חדשות שמטעינות את הרכב בחצי שעה	-4	-2	 (+3)	נגב דרומי	תחבורה ואנרגיה
					אייצר חניוני ״חנה וסע״ בהם ניתן להחנות את הרכב ולנסוע בשאטלים ציבוריים ליעדים מרכזיים במרכז ובצפון	-3	-1	(+2)		
					אשקיע בהגדלת טווח האגירה של בטריית המכונית	-5	-5	(+4)		
26	 אנשים מזמינים משלוחי ביגוד, כלי בית, גאדגטים מחו״ל בכמויות עצומות. בתהליך ייצור המוצרים והמשלוחים נפלטים גזי חממה רבים.			2022	אעלה את מחיר המכס למשלוחים אישיים מחו״ל	(+3)	-3	(-4)	מישור החוף	תחבורה ואנרגיה
					אצא למסע שיווק של החשיבות בקניית מוצרים כחול לבן	-1	-1	0		
					אשקיע במחקר ופיתוח של דלק מטוסים שאינו פולט גזי חממה	-5	-5	(+1)		
27	אוניות פולטות חלקיקים נשימים וחנקן. האוניות בנמל חיפה מהוות גורם זיהום משמעותי, בעיקר בשכונות אשר צמודות לנמל. 			2023	אבנה נמל דרומי ולהעביר את תנועת האוניות לשם, היכן שיש פחות תושבים	-5	(+4)	 (+3)	חיפה וכרמל	תחבורה ואנרגיה
					אתקצב אוניות חדשניות אשר פולטות פחות זיהום	-4	(-4)	(+1)		
					אצא למסע פרסום לטובת שינוי דעת קהל, שיתנגדו לנמל.	-1	-2	0		
28	אחרי שהעלית את מחירי הדלק, אזרחים מוחים בהצהרה שההשפעה שלהם על אחוז הפליטות הגלובלי אפסי.	23	3	2024	אתעקש להשאיר את המס. אנתב את רווחי המס להקלה ביוקר המחייה של האנשים 	(+1)	(-2)	(+1)	איזור ירושלים	תחבורה ואנרגיה
					אוריד חזרה את מחיר המס ואשקיע בפיתוח תחבורה ציבורית	-1	0	(+1)		
					אבטל את המס בידיעה שהשימוש במכוניות פרטיות הולך וגובר	0	-2	-1		
29	האקלים הישראלי חם מידי לגידול עלים ירוקים. היבולים נהרסים, המחירים עולים והירקות האהובים נעלמים מהצלחות.			2030	אשקיע בהפצת יסודות ההידרופוניקה וגידול ביתי שיחסכו את עלויות הפליטות במהלך השינוע	-1	-1	(+2)	נגב צפוני	חקלאות
					אייבא עלים ממדינות קרות יותר	-1	(+1)	0		
					להשקיע בפיתוח זני עלים עמידים לחום	-3	0	(+1)		
30	הושלם הפיתוח של הזן החדש של חסות עמידות לחום. מדינות נוספות רוצות לקבל את הגידולים האיכותיים.			2024	אבחר שלא לייצאֿ את הגידולים כדי למנוע פליטות, למרות שכסף רב יופסד.	0	0	0	נגב צפוני	תחבורה ואנרגיה
					הייצוא של מדינת ישראל זניח לעומת מדינות אחרות, לכן אין סיבה שלא לייצא לאחרים	(+2)	(+1)	(+1)		
					נמכור את את הפטנט למדינות אחרות כדי שיוכלו לגדלו בעצמם ונחסוך את העלות הפחמנית של הייצוא	(+3)	0	(+2)		
31	האיסור על כניסת מכוניות של תיירי גוש דן להכנס לגוש דן הוריד בהחלט את כמות המכוניות. יותר אנשים רוצים להתנייד באמצעות כלי תחבורה דו גלגליים.			2027	אין צורך להשקיע בדו גלגלי, הרכבת הקלה תענה על צרכיהם וכבר הושקע בה כסף רב.	0	(+2)	-2	מישור החוף	תחבורה ואנרגיה
					ארחיב תשתיות לרוכבי הדו גלגלי: שבילים, הצללות, עמדות עזרה וכו׳	-3	-1	(+3)		
					אשקיע באפליקציית ניווט עבור רוכבי דו גלגלי	-1	-1	(+1)		
32	ישראל היא אחת המדינות היחידות בעולם שיש בה היום יותר עצים משהיו בה לפני מאה שנה.			2023	הזדמנות	0	0	(+5)	גליל עליון	סביבה ומשאבי טבע
										
										
33	המדינה הציבה לעצמה יעד: ייצור 30% מהחשמל בישראל ממקורות מתחדשים. מימוש היעד נראה רחוק מתמיד.			2027	אדחה את היעד עד שיהיו טכנולוגיות יעילות יותר. בינתיים, אבחר להשקיע בסטארט-אפים שעוסקים בייצור אנרגיה ירוקה	-3	(+1)	0	איזור ירושלים	תחבורה ואנרגיה
					הפליטות של מדינת ישראל זניחות ממילא. נבטל את התחייבות היעדים	0	(+2)	-1		
					אין ספק שחייבים לעמוד ביעד, נשקיע את כל הכסף שצריך במעבר מדלקים מזהמים לאנרגיות ירוקות.	-5	-5	(+5)		
34	הפטנט של חברת הסטארט אפ לאגירת אנרגיה בה בחרת להשקיע הצליח מאוד ועכשיו הוא מבוקש במדינות רבות. קיבלת הכנסה משמעותית מהעסקאות הגדולות.				הזדמנות	(+10)	0	0	מישור החוף	תחבורה ואנרגיה
										
										
35	האוקיינוסים שלנו הם פוטנציאל עצום לשאיבת וקיבוע פחמן. 			2033	אקדם שימור שמורות האלמוגים, הידועות כצורכות פחמן משמעותיות	-5	-10	(+1)	אילת	סביבה ומשאבי טבע
					אגביל את הדייג בים על ידי יצירת עוד בריכות דגים, שיאפשרו לאוכלוסיית הדגים והאוקיינוסים לשקם את עצמה	0	0	-1		
					עד כה האוקיינוס קלט 94% מסך כל החום שהצטבר עקב ההתחממות הגלובלית, אתן לו לעשות את שלו	0	0	-2		
36	אגירת החום באוקיינוסים משפיעה על הטמפרטורה שלו. קצב המסת הקרחונים הולך ומתגבר, ויחד איתו גובה פני הים הולך ועולה. 			2029	אתכנן תוכנית רב שנתית להזזת יישובים מקו החוף, מחשש שיוצפו	-5	0	(+1)	ים תיכון	סביבה ומשאבי טבע
					אתקצב תשתיות שיבלמו את עליית פני הים בקו החוף הישראלי	-4	0	(+2)		
					אשקיע בפיתוחי תשתיות עבור כלל האוכלוסיה: מניעת המלחת מי תהום, הצפות, תשתיות נמלים	-4	0	(+3)		
37	כרבע מפליטות הפחמן הדו חמצני מגיעות מתעשייה (כרייה, מפעלים, שינוע).			2025	אקדם תמריצים עבור חברות למחזור מכשירים אלקטרוניים	-1	-1	(+1)	נגב צפוני	כלכלה, תעשייה וחברה
										
					אבצע קמפיין מחזור - החרמת כוסות פלסטיק	-1	0	(+1)		
38	דלקים פוסיליים מהווים 75 אחוזים מפליטות פד"ח המיוצרות מחשמל. 			2030	להשמיט דלקים פוסיליים במדינות מפותחות ב10-20 השנים הקרובות	-3	-2	(+3)	איזור ירושלים	תחבורה ואנרגיה
					להפסיק את השימוש בדלקים פוסיליים עכשיו	-5	-5	(+5)		
					לתת לשוק לעשות את שלו	0	-1	(-2)		
39	הבחירה שלך לאפשר למחירי המזון לעלות ספגה ביקורות קשות בשל הפגיעה במשפחות משכבות מוחלשות. 	2	2	2030	אין מה לעשות, הפעם לא אתן לדעת הקהל לשנות את החלטותיי	0	-1	-2	איזור ירושלים	כלכלה, תעשייה וחברה
					אזרים יותר כסף לטובת משפחות אלה	-2	0	(+1)		
					אשקיע בארגוני הצלת מזון לטובת העברה ישירה למשפחות אלו	-1	-3	(+1)		
40	במהלך תהליך הזיקוק של גז נפלטים גזי חממה ומזהמים רבים. 			2024	אשאיר את מצבורי הגז באדמה	-2	(+1)	(+3)	ים תיכון	תחבורה ואנרגיה
					כדי להבטיח ביטחון אנרגטי, חייבים להשתמש בגז	(+3)	-4	-2		
					ארחיק את אסדות הגז מחופי הים	-3	-4	-1		
41	  נמצא פיתרון לאגירת חשמל המיוצר מפאנלים סולריים. מעתה, נוכל לנצל אנרגיה כל הזמן.	42	2	2043	הזדמנות	0	-4	0	ים המלח והערבה	תחבורה ואנרגיה
										
										
42	שיאים חדשים בצריכה: חברת החשמל מזהירה מהפסקות יזומות כדי למנוע מחשש מקריסה. 			2042	כבר מאוחר מידי כדי לפעול, ניתן לחברות החשמל לעשות את שלהם	0	(+3)	0	ים המלח והערבה	בנייה ותכנון עירוני
					אעודד הפסקות חשמל יזומות בשעות מוגדרות ביום	(-1)	-1	-2		
					אגירת אנרגיה - אשקיע באגירה המגיעה מפאנלים סולרים. העומס על תחנות החשמל יופחת ולא נצטרך הפסקות	-3	-2	0		
43	הבחירה לממש הפסקות חשמל יזומות בשעות היום הביאה לכדי מכות חום בקרב אזרחים רבים. 	42	2	2045	בניית מבנים ציבוריים המספקים מיזוג וחשמל בהם אנשים יוכלו לשהות בזמן הפסקות החשמל	-2	(+2)	(+1)	מישור החוף	בנייה ותכנון עירוני
					אשקיע כסף בפטנט לזיהוי וטיפול מוקדם במכת חום	-2	0	(+1)		
					אשקיע במזגן חסכני באנרגיה	-2	0	(+1)		
44	הודות להשקעה שלך, נמצא פיתרון למזגן זול באנרגיה, זיהום וכסף! 	43	3	2047	הזדמנות	(+1)	0	0		בנייה ותכנון עירוני
										
										
45	קיבלתם תרומה של נטיעת 10,000 עצים. 			2024	הזדמנות	0	-2	0		כלכלה, תעשייה וחברה
										
										
46	קרחון בגודל של בריטניה נמס בקצב מהיר מהמצופה  ומעלה את גובה פני הים. ערים גדולות בעולם ישאו בהצפות הרסניות. אתה מחויב להשקיע כסף בעזרה לערים אלו.			2031	הזדמנות 	-2	0	0		כלכלה, תעשייה וחברה
										
										
47	בישראל מתים כל שנה כ-2,500 איש כתוצאה מחשיפה לזיהום אוויר. 			2043	ארחיק עוד יותר את אזורי התעשייה מאזורי מגורים	-4	(+3)	(+2)	חיפה וכרמל	כלכלה, תעשייה וחברה
					אשקיע בטכנולוגיות לשאיבת חלקיקי מזהמים באזורי מגורים	-2	-1	(+2)		
					להוציא מחוץ לחוק טכנולוגיות מזהמות	-5	-5	(+5)		
48	ישראל המדינה הצפופה ביותר בעולם. עם הגידול באוכלוסייה, עולה הצורך באנרגיה ומשאבים, שמעלים את כמות הפליטות.			2041	הגבלת ילודה - הטלת קנסות כבדים על זוגות שמביאים יותר מ-3	(+3)	-5	-4	מישור החוף	כלכלה, תעשייה וחברה
					לקדם חקיקה בעד אפשרות להמתת חסד	0	-4	(+1)		
					חיי אדם מעל הכל, לא אפעל בנושא	0	(+4)	0		
49	אנרגיה גרעינית, אנרגיה נקייה ממזהמים, נהייתה מקובלת ברחבי העולם. שנתחיל בהקמת כור ייעודי?			2041	לא, הכור עלול להוות סכנה עבור האזרחים שסביבו	0	(+4)	-2	ים המלח והערבה	תחבורה ואנרגיה
					כמובן, מדובר בהזדמנות חשובה המקדמת אותנו לעבר ייצור אנרגיה נקייה ובהמשך זולה	-5	-5	(+3)		
										
50	חומר הבנייה החשוב ביותר בעידן המודרני - בטון, גורם מרכזי לזיהום ולהחרפת משבר האקלים. נמצא פטנט תהליך יצור בטון שאינו מזהם. הפטנט זמין וניתן להתחיל לבנות ירוק. 			2027	הזדמנות		(-4)			כלכלה, תעשייה וחברה
										
										
51	עקב דייג יתר, אוכלוסיית האוקיינוסים הידלדלה ב80% אחוזים. 			2045	לאסור על דיג במדינה ולאפשר לאוכלוסית הים להשתקם	-2	-1	-2	ים תיכון	חקלאות
					אשקיע בפיתוח דגים מהונדסים	-2	0	0		
					לבנות חוות גידול לדגים ולאפשר אכילת דגים בכל זאת	-1	(+1)	(+1)		
52	 סופות חול רבות התרחשו בדרום הארץ. אלפים חוו קשיי נשימה ופנו לקבלת טיפול בבית החולים. העומס בבית החולים גובר.			2036	אשקיע בהדרכה ביתית בהתמודדות עם סופות החול	-1	0	(+1)	נגב צפוני	כלכלה, תעשייה וחברה
					ביזור נקודות טיפול ברחבי הדרום	-1	(+1)	(+2)		
					אבחר להשקיע את הכסף שלי במקומות אחרים	0	0	(-1)		
53	חברות הדלקים טוענות -  הפסקת השימוש בדלק אינו הפיתרון למשבר האקלים, יש להוריד את המס שנוסף על הדלק! 			2044	אתעלם ואמשיך בתהליכי המס. אפעל למציאת עבודות חלופיות לעובדי חברות הדלק	-1	0	 +1	איזור ירושלים	תחבורה ואנרגיה
					אוריד את המס. ישראל מדינה קטנה ולכן ההשפעה שלה לא תעזור מבחינה עולמית בכל מקרה	0	(+2)	-1		
					אעלה את המס עוד יותר	(+1)	-3	(+2)		
54	פורצת מלחמה בין שתי מדינות. תעשיות הביטחון מייצרות פליטות גזי חממה נוספות.  			2023	הזדמנות	0	(+2)	0	איזור ירושלים	כלכלה, תעשייה וחברה
